_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
1,4155228,2018,1962,2025,PRIVATE,03,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2025-08-21,95,95,0,38,3,3,3,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,W0329,43.63526494,-79.49196659,305432.484,4832590.959
2,4155242,2017,1959,2023,PRIVATE,03,Etobicoke-Lakeshore,10 KINSDALE BLVD,4,23,2023-07-16,84,84,0,41,3,3,2,3,3,2,3,3,3,3,N/A,N/A,3,1,2,2,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,N/A,2,3,3,1,2,3,3,3,1,1,1,1,1,1,3,1,W0329,43.63581647,-79.49157595,305463.996,4832652.234
3,4155242,2017,1959,2025,PRIVATE,03,Etobicoke-Lakeshore,10 KINSDALE BLVD,4,23,2025-12-02,87,88,-1,39,3,3,1,N/A,3,1,3,3,1,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,1,3,1,3,3,3,3,3,3,3,3,3,1,3,3,W0329,43.63581647,-79.49157595,305463.996,4832652.234
4,4155243,2017,1954,2023,PRIVATE,03,Etobicoke-Lakeshore,12 KINSDALE BLVD,4,16,2023-10-03,98,98,0,39,3,2,3,N/A,3,3,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0329,43.63569676,-79.49213629,305418.785,4832638.931
5,4155243,2017,1954,2025,PRIVATE,03,Etobicoke-Lakeshore,12 KINSDALE BLVD,4,16,2025-08-21,99,99,0,39,3,3,3,N/A,3,3,3,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0329,43.63569676,-79.49213629,305418.785,4832638.931
6,4245705,2017,1967,2023,PRIVATE,03,Etobicoke-Lakeshore,359 KIPLING AVE,3,12,2023-10-12,87,87,0,37,3,3,3,N/A,N/A,3,N/A,3,2,2,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,2,N/A,3,N/A,2,2,2,3,3,3,3,3,2,3,3,3,1,1,1,3,W0335,43.60099385,-79.5179299,303336.876,4828783.712
7,4245705,2017,1967,2025,PRIVATE,03,Etobicoke-Lakeshore,359 KIPLING AVE,3,12,2025-11-10,94,94,0,40,3,3,3,N/A,3,2,N/A,3,2,3,N/A,N/A,3,3,3,3,3,3,2,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,W0335,43.60099385,-79.5179299,303336.876,4828783.712
8,4155405,2017,1992,2024,SOCIAL HOUSING,02,Etobicoke Centre,1540 KIPLING AVE,8,128,2024-08-13,96,96,0,45,3,3,3,3,3,3,N/A,3,2,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,1,3,3,W0221,43.68046182,-79.55295488,300514.566,4837614.397
9,4155429,2017,1968,2024,PRIVATE,01,Etobicoke North,2329 KIPLING AVE,5,40,2024-08-30,81,81,0,44,3,2,3,3,3,1,3,2,2,3,N/A,3,3,3,2,3,2,N/A,3,3,2,N/A,N/A,3,3,N/A,3,2,1,2,3,3,3,N/A,1,2,1,3,3,3,3,3,1,1,1,1,1,1,1,1,W0130,43.73187939,-79.5760015,298661.68,4843328.069
10,4155447,2018,1965,2023,PRIVATE,01,Etobicoke North,2435 KIPLING AVE,13,153,2023-07-25,81,81,0,42,2,2,N/A,N/A,3,2,3,3,2,2,2,N/A,3,3,3,3,3,N/A,N/A,3,N/A,N/A,N/A,2,3,2,3,2,2,2,3,2,3,2,1,2,3,1,2,3,1,3,3,3,3,1,3,1,3,3,W0124,43.73883564,-79.57871756,298443.619,4844101.085
